"show_id","type_lower","title_lower","director_lower","cast_lower","country_lower","date_added_new","release_year","rating_lower","duration","listed_in_lower","description_lower","duration_min_filter"
81145628,movie,norm of the north: king sized adventure,"richard finn, tim maltby","alan marriott, andrew toth, brian dobson, cole howard, jennifer cameron, jonathan holmes, lee tockar, lisa durupt, maya kay, michael dobson","united states, india, south korea, china","2019-09-09",2019,tv-pg,"90 min","children & family movies, comedies","before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",90.0
80117401,movie,jandino: whatever it takes,"",jandino asporaat,united kingdom,"2016-09-09",2016,tv-ma,"94 min",stand-up comedy,"jandino asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""sex on fire"" in his comedy show.",94.0
70234439,tv show,transformers prime,"","peter cullen, sumalee montano, frank welker, jeffrey combs, kevin michael richardson, tania gunadi, josh keaton, steve blum, andy pessoa, ernie hudson, daran norris, will friedle",united states,"2018-09-08",2013,tv-y7-fv,"1 Season",kids' tv,"with the help of three human allies, the autobots once again protect earth from the onslaught of the decepticons and their leader, megatron.",480.0
80058654,tv show,transformers: robots in disguise,"","will friedle, darren criss, constance zimmer, khary payton, mitchell whitfield, stuart allan, ted mcginley, peter cullen",united states,"2018-09-08",2016,tv-y7,"1 Season",kids' tv,"when a prison ship crash unleashes hundreds of decepticons on earth, bumblebee leads a new autobot force to protect humankind.",480.0
80125979,movie,#realityhigh,fernando lebrija,"nesta cooper, kate walsh, john michael higgins, keith powers, alicia sanz, jake borelli, kid ink, yousef erakat, rebekah graf, anne winters, peter gilroy, patrick davis",united states,"2017-09-08",2017,tv-14,"99 min",comedies,"when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",99.0
80163890,tv show,apaches,"","alberto ammann, eloy azorín, verónica echegui, lucía jiménez, claudia traisac",spain,"2017-09-08",2016,tv-ma,"1 Season","crime tv shows, international tv shows, spanish-language tv shows",a young journalist is forced into a life of crime to save his father and family in this series based on the novel by miguel sáez carral.,480.0
70304989,movie,automata,gabe ibáñez,"antonio banderas, dylan mcdermott, melanie griffith, birgitte hjort sørensen, robert forster, christa campbell, tim mcinnerny, andy nyman, david ryall","bulgaria, united states, spain, canada","2017-09-08",2014,r,"110 min","international movies, sci-fi & fantasy, thrillers","in a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",110.0
80164077,movie,fabrizio copano: solo pienso en mi,"rodrigo toro, francisco schultz",fabrizio copano,chile,"2017-09-08",2017,tv-ma,"60 min",stand-up comedy,"fabrizio copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family whatsapp groups and more.",60.0
80117902,tv show,fire chasers,"","",united states,"2017-09-08",2017,tv-ma,"1 Season","docuseries, science & nature tv","as california's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",480.0
70304990,movie,good people,henrik ruben genz,"james franco, kate hudson, tom wilkinson, omar sy, sam spruell, anna friel, thomas arnold, oliver dimsdale, diana hardcastle, michael jibson, diarmaid murtagh","united states, united kingdom, denmark, sweden","2017-09-08",2014,r,"90 min","action & adventure, thrillers",a struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,90.0
